X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,result_num,status,formatted_,place_id,location_t,latlong,icon_url
11.4257541,48.7665351,Ingolstadt,"70594","90490","105489","115722","125088","137392",Bayern,"1","0",OK,"Ingolstadt, Germany",ChIJuwo2iFH-nkcR6op0EyJ-Xew,APPROXIMATE,"48.7665351,11.4257541",./0.png
7.6960842,51.3765096,Iserlohn,"57321","93823","96314","98790","94966","92174",Nordrhein-Westfalen,"1","0",OK,"Iserlohn, Germany",ChIJq8hi8YhAuUcRMIkqSvxgJwQ,APPROXIMATE,"51.3765096,7.6960842",./0.png
11.5892372,50.927054,Jena,"88130","103718","102518","99893","105129","111343",ThÃ¼ringen,"1","0",OK,"Jena, Germany",ChIJWS8KT7mopkcRIDYzdMGOIAQ,APPROXIMATE,"50.927054,11.5892372",./0.png
7.7491265,49.4400657,Kaiserslautern,"100696","98745","99351","99825","99184","100030",Rheinland-Pfalz,"1","0",OK,"Kaiserslautern, Germany",ChIJMQ6MFrkSlkcRics3I-WxhqY,APPROXIMATE,"49.4400657,7.7491265",./0.png
8.4036527,49.0068901,Karlsruhe,"259091","271892","275061","278558","294761","312060",Baden-WÃ¼rttemberg,"1","0",OK,"Karlsruhe, Germany",ChIJCXjgokgGl0cRf-63THNV_LY,APPROXIMATE,"49.0068901,8.4036527",./0.png
9.4797461,51.3127114,Kassel,"214785","195912","194268","194766","195530","202137",Hessen,"1","0",OK,"Kassel, Germany",ChIJHWx6n04_u0cRRxciWD1jhC8,APPROXIMATE,"51.3127114,9.4797461",./0.png
10.3157835,47.7285699,Kempten (AllgÃ¤u),"44884","57376","61906","61389","62060","69151",Bayern,"1","0",OK,"Kempten, Germany",ChIJEcln2gd5nEcRK7AzyJW7pbw,APPROXIMATE,"47.7285699,10.3157835",./0.png
6.6883728,50.8747592,Kerpen,"10608","54725","57337","63135","64602","66702",Nordrhein-Westfalen,"1","0",OK,"Kerpen, Germany",ChIJz1NL1BM_v0cRraYipPL4P2I,APPROXIMATE,"50.8747592,6.6883728",./0.png
10.1227651,54.3232927,Kiel,"271042","250062","245567","232612","239526","246794",Schleswig-Holstein,"1","0",OK,"Kiel, Germany",ChIJrZfujw1WskcRIANYxmOJJAQ,APPROXIMATE,"54.3232927,10.1227651",./0.png
6.12954,51.786726,Kleve,"43640","44026","45963","48662","49477","52388",Nordrhein-Westfalen,"1","0",OK,"47533 Kleve, Germany",ChIJ7WxfIh10x0cRkPEAHjFzhQA,APPROXIMATE,"51.78672599999999,6.12954",./0.png
7.5889959,50.3569429,Koblenz,"120079","113676","108733","107950","106417","114052",Rheinland-Pfalz,"1","0",OK,"Koblenz, Germany",ChIJnX0jdld7vkcRYLPaENXUIgQ,APPROXIMATE,"50.3569429,7.5889959",./0.png
6.9602786,50.937531,KÃ¶ln,"849451","976694","953551","962884","1007119","1087863",Nordrhein-Westfalen,"3","0",OK,"Cologne, Germany",ChIJ5S-raZElv0cR8HcqSvxgJwQ,APPROXIMATE,"50.937531,6.9602786",./0.png
9.1732384,47.6779496,Konstanz,"61614","68305","75089","78087","84693","84911",Baden-WÃ¼rttemberg,"1","0",OK,"Konstanz, Germany",ChIJWx8MOBv2mkcR0JnfpbdrHwQ,APPROXIMATE,"47.6779496,9.173238399999999",./0.png
6.5853417,51.3387609,Krefeld,"222666","223969","244020","239916","235076","227417",Nordrhein-Westfalen,"1","0",OK,"Krefeld, Germany",ChIJWVNeR6u6uEcRV4jRxu25oi8,APPROXIMATE,"51.3387609,6.5853417",./0.png
12.1468532,48.5441917,Landshut,"52425","55796","59066","58746","63258","73411",Bayern,"1","0",OK,"Landshut, Germany",ChIJe9zDlQcmnkcRIK83CaQlHQQ,APPROXIMATE,"48.5441917,12.1468532",./0.png
6.9512663,51.1191898,Langenfeld (Rheinland),"44217","47027","53455","58429","59160","59178",Nordrhein-Westfalen,"1","0",OK,"40764 Langenfeld, Germany",ChIJfbDqBm4tv0cREZWvM0WEd8I,APPROXIMATE,"51.1191898,6.951266299999999",./0.png
9.7443992,52.4528001,Langenhagen,"35474","46764","47432","49432","52583","54652",Niedersachsen,"1","0",OK,"Langenhagen, Germany",ChIJ9Vjr5W1ysEcRMF2slG2sJQQ,APPROXIMATE,"52.4528001,9.7443992",./0.png
12.3730747,51.3396955,Leipzig,"583885","562480","511079","493208","522883","593145",Sachsen,"2","0",OK,"Leipzig, Germany",ChIJcywPIBj4pkcRUvW0udKA35M,APPROXIMATE,"51.3396955,12.3730747",./0.png
7.0192196,51.0459248,Leverkusen,"107626","160825","160919","161047","160772","163729",Nordrhein-Westfalen,"1","0",OK,"Leverkusen, Germany",ChIJXXL7Vr8uv0cR_T55Et295Zs,APPROXIMATE,"51.04592479999999,7.0192196",./0.png
7.3292862,52.5403079,Lingen (Ems),"31522","44097","49137","51684","51177","54708",Niedersachsen,"1","0",OK,"Lingen, Germany",ChIJY7s9tbeHt0cRULkAY3fPJgQ,APPROXIMATE,"52.54030789999999,7.329286199999999",./0.png
8.3406481,51.6712278,Lippstadt,"41743","61927","62345","66933","66976","67952",Nordrhein-Westfalen,"1","0",OK,"Lippstadt, Germany",ChIJhR8FMVDSu0cRnXWiGsBraYI,APPROXIMATE,"51.6712278,8.3406481",./0.png
10.6865593,53.8654673,LÃ¼beck,"239955","220588","214758","213399","210232","216530",Schleswig-Holstein,"1","0",OK,"Lübeck, Germany",ChIJ850L91MJskcRtBJ-PldfcvQ,APPROXIMATE,"53.8654673,10.6865593",./0.png
